CustomerID,age,salary_k,tenure_years,number_of_logins,complaints,engagement_score,subscription_type,region,device_type,signup_date,last_active_date,churn
CUST_E3C733E6,45.37925374165801,17.420400621225202,0.17,18,3,6.44,Basic,India,Mobile,2020-07-29,2024-05-19,0
CUST_9CA1BA76,38.901589803420514,22.964500974836476,10.0,20,1,29.06,Basic,USA,Smart TV,2018-04-12,2024-08-08,0
CUST_DAC2CE28,42.14195578374562,17.90201321576012,4.83,30,3,27.63,Basic,India,Web,2021-01-17,2024-07-13,0
CUST_270A241D,52.597428969429345,25.76678429944418,6.09,18,0,19.33,Standard,USA,Mobile,2017-08-10,2024-11-03,0
CUST_B5384668,34.602865668713896,40.75462905889621,3.56,25,0,20.67,Premium,India,Mobile,2019-08-03,2024-08-23,0
CUST_42CECA91,34.40022921582086,19.16690300330418,0.62,26,2,14.24,Basic,Germany,Mobile,2020-06-09,2024-05-03,1
CUST_C805F773,49.30080684977903,41.24931869909633,0.09,10,1,1.6,Standard,India,Mobile,2021-04-09,2024-02-10,0
CUST_2109DEBC,45.65555556195962,17.592705023105047,6.0,31,5,29.16,Basic,Canada,Mobile,2023-04-23,2024-08-09,1
CUST_F04DF5A9,37.66985695624225,17.30033013457336,1.51,25,2,14.45,Basic,USA,Smart TV,2017-03-28,2024-10-15,0
CUST_D0BD62E6,40.77365582623521,35.04976937323897,0.92,15,0,8.12,Standard,India,Mobile,2023-10-23,2024-01-24,0
CUST_BA521144,33.77621323354482,38.229846898913564,2.47,20,2,14.86,Standard,India,Mobile,2023-08-05,2024-05-08,0
CUST_5BA74AA6,32.968845116864046,34.56466555790262,1.64,11,3,8.15,Standard,Canada,Web,2019-08-04,2024-05-10,0
CUST_1E096924,40.19962958770797,14.697615963596048,3.16,30,4,23.23,Basic,India,Smart TV,2018-06-17,2024-06-09,1
CUST_C4F485EB,22.95377598721639,20.996720936990087,1.98,19,4,12.18,Basic,UK,Web,2023-12-21,2024-08-06,1
CUST_10AFFAF1,21.313701063025093,37.48489052069784,3.58,18,3,16.56,Standard,India,Smart TV,2018-04-20,2025-01-01,0
CUST_AC643DDB,33.382652487450855,26.81485281416793,5.76,24,4,24.52,Basic,Germany,Mobile,2018-04-27,2024-02-06,0
CUST_7845B77E,29.399954266611477,13.35700106530011,0.65,15,2,6.55,Basic,USA,Mobile,2020-08-21,2024-04-21,1
CUST_2D72F5FB,42.318302083930305,31.232373372250866,1.2,22,3,13.47,Basic,UK,Smart TV,2017-09-11,2024-06-02,0
CUST_011A884F,28.50557260064128,18.183151794627875,1.72,29,3,16.06,Basic,India,Smart TV,2018-12-25,2024-01-15,0
CUST_453345AF,27.568533700568384,53.66140104796403,9.82,13,0,27.03,Premium,UK,Mobile,2022-01-22,2024-04-04,0
CUST_D083D604,53.32734015712407,51.9868944624071,1.36,20,1,7.78,Premium,Germany,Mobile,2017-01-12,2024-12-31,0
CUST_494FB734,36.29494390289183,34.89359349938288,1.44,17,4,13.97,Basic,USA,Web,2022-11-19,2024-01-10,0
CUST_D1FE4C87,39.632288863044735,44.922976013974804,3.18,21,1,15.84,Premium,Canada,Mobile,2018-03-29,2024-06-20,0
CUST_3711C6A4,24.75833504139685,23.955930383364315,1.63,25,3,16.05,Standard,USA,Mobile,2018-04-03,2024-09-05,0
CUST_7468488F,32.39568611910093,35.96366914736661,9.06,24,3,30.59,Standard,Germany,Mobile,2022-12-07,2024-04-20,0
CUST_E47A01C1,37.755796550167666,49.32397880796059,6.75,20,0,22.45,Premium,India,Web,2024-11-09,2024-02-01,0
CUST_BA53D68C,26.798477589684733,109.83711620085496,2.16,66,3,14.02,Standard,Germany,Web,2019-06-26,2024-05-25,0
CUST_F1A3D286,41.98354291753625,23.243997888560965,3.11,15,2,14.09,Standard,USA,Smart TV,2022-10-15,2024-05-20,0
CUST_069EA9C0,32.2089205475528,12.174717425178143,0.18,16,2,10.83,Basic,Canada,Mobile,2022-07-26,2024-09-25,1
CUST_A1092D44,36.586330018102835,23.603620051803034,3.57,23,1,19.57,Basic,India,Web,2017-04-07,2024-02-05,0
CUST_FE258E9F,33.73242142891942,35.4099260677554,3.68,16,2,14.52,Standard,Germany,Mobile,2024-06-05,2024-07-19,0
CUST_969129AC,54.54056382577723,39.54309919590457,1.34,20,4,15.25,Basic,USA,Mobile,2020-03-23,2024-12-22,0
CUST_02971243,38.59630777354687,30.710671888810474,0.74,12,7,10.86,Basic,USA,Smart TV,2022-12-08,2024-06-18,1
CUST_73EFD4E0,31.179789179922533,20.436662367052886,7.4,26,0,27.23,Basic,USA,Mobile,2020-06-28,2024-02-17,0
CUST_D1DFF6AC,45.053739245713345,10.341861962159179,1.67,32,1,19.89,Basic,Canada,Web,2020-04-17,2024-07-20,1
